adult,backdrop_path,genre_ids/0,genre_ids/1,genre_ids/2,genre_ids/3,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_ids/4,genre_ids/5
false,https://image.tmdb.org/t/p/w300/cjaOSjsjV6cl3uXdJqimktT880L.jpg,12,14,10751,16,529203,en,The Croods: A New Age,"After leaving their cave, the Croods encounter their biggest threat since leaving: another family called the Bettermans, who claim and show to be better and evolved. Grug grows suspicious of the Betterman parents, Phil and Hope,  as they secretly plan to break up his daughter Eep with her loving boyfriend Guy to ensure that their daughter Dawn has a loving and smart partner to protect her.",2820.988,https://image.tmdb.org/t/p/w300/tK1zy5BsCt1J4OzoDicXmr0UTFH.jpg,2020-11-25,The Croods: A New Age,false,8.1,545,,
false,https://image.tmdb.org/t/p/w300/tYkMtYPNpUdLdzGDUTC5atyMh9X.jpg,28,53,80,18,553604,en,Honest Thief,"A bank robber tries to turn himself in because he's falling in love and wants to live an honest life...but when he realizes the Feds are more corrupt than him, he must fight back to clear his name.",1987.863,https://image.tmdb.org/t/p/w300/zeD4PabP6099gpE0STWJrJrCBCs.jpg,2020-09-03,Honest Thief,false,7,259,,
false,https://image.tmdb.org/t/p/w300/wzJRB4MKi3yK138bJyuL9nx47y6.jpg,28,53,878,,577922,en,Tenet,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",1642.139,https://image.tmdb.org/t/p/w300/k68nPLbIST6NP96JmTxmZijEvCA.jpg,2020-08-22,Tenet,false,7.4,3171,,
false,https://image.tmdb.org/t/p/w300/wk58aoyWpMTVkKkdjw889XfWGdL.jpg,53,80,9648,,646593,en,Wander,"After getting hired to probe a suspicious death in the small town of Wander, a mentally unstable private investigator becomes convinced the case is linked to the same 'conspiracy cover up' that caused the death of his daughter.",1237.717,https://image.tmdb.org/t/p/w300/2AwPvNHphpZBJDqjZKVuMAbvS0v.jpg,2020-12-04,Wander,false,5.5,43,,
false,https://image.tmdb.org/t/p/w300/2Fk3AB8E9dYIBc2ywJkxk8BTyhc.jpg,28,53,,,524047,en,Greenland,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garrity's experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",1190.108,https://image.tmdb.org/t/p/w300/bNo2mcvSwIvnx8K6y1euAc1TLVq.jpg,2020-07-29,Greenland,false,7.1,1052,,
false,https://image.tmdb.org/t/p/w300/jeAQdDX9nguP6YOX6QSWKDPkbBo.jpg,28,14,878,,590706,en,Jiu Jitsu,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",1142.746,https://image.tmdb.org/t/p/w300/eLT8Cu357VOwBVTitkmlDEg32Fs.jpg,2020-11-20,Jiu Jitsu,false,5.7,188,,
false,https://image.tmdb.org/t/p/w300/zbD96UExL9hl8TNihhs16vTBPEn.jpg,878,,,,733317,en,Monsters of Man,"A robotics company vying to win a lucrative military contract team up with a corrupt CIA agent to conduct an illegal live field test. They deploy four weaponized prototype robots into a suspected drug manufacturing camp in the Golden Triangle, assuming they'd be killing drug runners that no one would miss. Six doctors on a humanitarian mission witness the brutal slaughter and become prime targets.",1410.108,https://image.tmdb.org/t/p/w300/1f3qspv64L5FXrRy0MF8X92ieuw.jpg,2020-11-19,Monsters of Man,false,7.7,68,,
false,https://image.tmdb.org/t/p/w300/zMcEalkxEiRjvmijliLBk0sYern.jpg,35,80,53,,765123,de,Wir Können Nicht Anders,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.",883.949,https://image.tmdb.org/t/p/w300/ajKpYK7XdzIYjy9Uy8nkgRboKyv.jpg,2020-12-04,Christmas Crossfire,false,4.4,33,,
false,https://image.tmdb.org/t/p/w300/ckfwfLkl0CkafTasoRw5FILhZAS.jpg,28,35,14,,602211,en,Fatman,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",932.736,https://image.tmdb.org/t/p/w300/4n8QNNdk4BOX9Dslfbz5Dy6j1HK.jpg,2020-11-13,Fatman,false,5.9,218,,
false,https://image.tmdb.org/t/p/w300/srYya1ZlI97Au4jUYAktDe3avyA.jpg,14,28,12,,464052,en,Wonder Woman 1984,Wonder Woman comes into conflict with the Soviet Union during the Cold War in the 1980s and finds a formidable foe by the name of the Cheetah.,911.331,https://image.tmdb.org/t/p/w300/di1bCAfGoJ0BzNEavLsPyxQ2AaB.jpg,2020-12-16,Wonder Woman 1984,false,7.1,124,,
false,https://image.tmdb.org/t/p/w300/sFLgXQGrSWxnjmPOpGKPApWNOUH.jpg,36,28,12,,635237,en,Arthur & Merlin: Knights of Camelot,King Arthur returns home after fighting the Roman Empire. His illegitimate son has corrupted the throne of Camelot and King Arthur must reunite with the wizard Merlin and the Knights of the Round Table to fight to get back his crown.,665.49,https://image.tmdb.org/t/p/w300/chGTXsvn53XvEnvsJ9ZD9eiYKx9.jpg,2020-05-28,Arthur & Merlin: Knights of Camelot,false,6,59,,
false,https://image.tmdb.org/t/p/w300/cw8A0SprTxr7uSfcH7lwSRRhezJ.jpg,12,14,28,,634244,en,Heavenquest: A Pilgrim's Progress,"Inspired by the 1678 novel The Pilgrim's Progress and an imagined prequel to Bunyan's original writings.  A regal man named Vangel is thrust on a journey against his will when he is suddenly and mysteriously arrested.  Injured and lost after escaping the dark king’s men, Vangel begins to have strange dreams and visions of a mysterious woman in white calling him from the unknown territory of the North.  Armed with a book called “The Record of the Ancients” that he receives from a wise sage named Elder, Vangel embarks on an adventure that takes him through treacherous mountain range, unending deserts, the Lake of Doubts, and the Forest of No Return.  Along the way, travel companions share about a fabled good king and his son in the North if he can make it there alive.",640.5,https://image.tmdb.org/t/p/w300/cLDPLia17AwMqSaRHccyAlInkch.jpg,2020-07-13,Heavenquest: A Pilgrim's Progress,false,5.5,35,,
false,https://image.tmdb.org/t/p/w300/d2UxKyaJ5GgzuHaSsWinFfv3g6L.jpg,28,27,53,,581392,ko,반도,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,634.675,https://image.tmdb.org/t/p/w300/sy6DvAu72kjoseZEjocnm2ZZ09i.jpg,2020-07-15,Peninsula,false,6.9,929,,
false,https://image.tmdb.org/t/p/w300/wu1uilmhM4TdluKi2ytfz8gidHf.jpg,16,14,12,35,400160,en,The SpongeBob Movie: Sponge on the Run,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",507.858,https://image.tmdb.org/t/p/w300/jlJ8nDhMhCYJuzOw3f52CP1W8MW.jpg,2020-08-14,The SpongeBob Movie: Sponge on the Run,false,7.9,1736,10751,
false,https://image.tmdb.org/t/p/w300/6hgItrYQEG33y0I7yP2SRl2ei4w.jpg,10749,18,,,613504,en,After We Collided,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,492.285,https://image.tmdb.org/t/p/w300/kiX7UYfOpYrMFSAGbI6j1pFkLzQ.jpg,2020-09-02,After We Collided,false,7.3,2481,,
false,https://image.tmdb.org/t/p/w300/lIE7kfdLBRd0KENNtOaIqPPWNqh.jpg,27,18,14,,590995,en,The Craft: Legacy,An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers.,471.014,https://image.tmdb.org/t/p/w300/lhMIra0pqWNuD6CIXoTmGwZ0EBS.jpg,2020-10-28,The Craft: Legacy,false,6.2,189,,
false,https://image.tmdb.org/t/p/w300/j6Er72CMHKiZgFr0HBMbuyj7Ssa.jpg,27,,,,753926,en,Toys of Terror,"A big family moves into a dusty old house in the snowy woods of Washington with hopes of it being a nice holiday escape. But the kids soon discover a stash of old toys that just so happen to belong to a creepy ghost boy. As stranger and stranger things start to happen, some of the kids begin to sense that something in the house is not quite right…",461.377,https://image.tmdb.org/t/p/w300/c6hmAgPVXxZHwMHfS9z3W2n9Gz9.jpg,2020-10-18,Toys of Terror,false,5.5,43,,
false,https://image.tmdb.org/t/p/w300/tfxRXujXbi2esl8WLhdqzixjbIY.jpg,,,,,669444,fr,Les chevaliers du fiel dynamitent 2019,,507.964,https://image.tmdb.org/t/p/w300/oh6AZL0nnQdnz8bazoDzTAVVHfB.jpg,,Les chevaliers du fiel dynamitent 2019,false,3.7,3,,
false,https://image.tmdb.org/t/p/w300/iZ6wYtPGO6Hg4yP7O1ZXpITcx7V.jpg,28,35,,,682377,en,Chick Fight,"When Anna Wyncomb is introduced to an an underground, all-female fight club in order to turn the mess of her life around, she discovers she is much more personally connected to the history of the club than she could ever imagine.",421.127,https://image.tmdb.org/t/p/w300/4ZocdxnOO6q2UbdKye2wgofLFhB.jpg,2020-11-13,Chick Fight,false,5.7,73,,
false,https://image.tmdb.org/t/p/w300/1WDITmJAHz4rAnjVv1XYN4IfjKq.jpg,27,,,,593655,en,Castle Freak,"After she’s permanently blinded in a tragic car accident, Rebecca receives some bizarre news: her long-lost mother has recently passed away, leaving her their family’s ancestral castle in rural Albania. Traveling to the estate with a group of friends, Rebecca hopes it will be an opportunity for her to reconnect with a past she never knew and a mother who seemingly left her behind. When mysterious events begin to occur and her friends begin to die, Rebecca must unravel the secrets of her family’s history before she too falls prey to the Castle Freak.",400.099,https://image.tmdb.org/t/p/w300/HJEosQRIdBzAHEdZJCUF7e5FmF.jpg,2020-12-03,Castle Freak,false,4.4,13,,
false,https://image.tmdb.org/t/p/w300/1EqOPzkgYXXyQuosEOIxgKUVS8G.jpg,35,28,,,651586,es,Superagente Makey,"Makey is a humble police officer that, unexpectedly, gets caught in the middle of a dangerous international drug operation in the Costa del Sol, Spain.",404.455,https://image.tmdb.org/t/p/w300/1IjQJE90yB8WliDRb1N3EvEMsjr.jpg,2020-07-17,Superagente Makey,false,4,45,,
false,https://image.tmdb.org/t/p/w300/lrzAb9QCwKPOwH1iY7WpfjR6jcC.jpg,10770,53,,,648371,en,No Good Deed,"Karen never planned on being a hero. A recent widow, she has her hands full with work and parenting her son Max. Then Karen saves Jeremy's life during a drug store robbery and quickly discovers that the young man is intent on paying her back at any cost. At first, life starts improving for this good Samaritan, but as Jeremy's efforts become more extreme, Karen starts to wonder if no good deed truly goes unpunished.",627.253,https://image.tmdb.org/t/p/w300/27BnREBR5rcMrUVUhV5bTXlcCym.jpg,2020-03-13,No Good Deed,false,6.2,10,,
false,https://image.tmdb.org/t/p/w300/8knaRrDd1FM1pbSLaViEQSxodi5.jpg,18,53,,,441282,en,Night Hunter,A Minnesota police officer crosses paths with a committed and tireless vigilante as he follows the trail of a ruthless predator responsible for several abductions and murders.,607.272,https://image.tmdb.org/t/p/w300/vVYU0x9FRpiJNX7c54ciFnRBVYG.jpg,2019-08-29,Night Hunter,false,6.5,392,,
false,https://image.tmdb.org/t/p/w300/8rIoyM6zYXJNjzGseT3MRusMPWl.jpg,14,10751,12,35,531219,en,Roald Dahl's The Witches,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",430.338,https://image.tmdb.org/t/p/w300/betExZlgK0l7CZ9CsCBVcwO1OjL.jpg,2020-10-26,Roald Dahl's The Witches,false,6.9,956,27,
false,https://image.tmdb.org/t/p/w300/qAKvUu2FSaDlnqznY4VOp5PmjIF.jpg,28,12,18,14,337401,en,Mulan,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",392.408,https://image.tmdb.org/t/p/w300/aKx1ARwG55zZ0GpRvU2WrGrCG9o.jpg,2020-09-04,Mulan,false,7.1,3587,,
false,https://image.tmdb.org/t/p/w300/7z0QTuzxdUHkGISaYxtp0PVQmXp.jpg,53,,,,729269,en,Sleeping with Danger,"Inspired by Ann Rule’s true crime collection Mortal Danger and Other True Cases. Paul Carter was like a knight in shining armor when he met flight attendant Grace Tanner and swept her into a passionate love affair. But her dream man quickly became her nightmare as his jealous rage ultimately led to a brutal attack. Incredibly, Grace was able to escape and go into hiding. Fearing for her life and the safety of other women Paul might seduce, Grace works with the police to bring Paul to justice.",406.404,https://image.tmdb.org/t/p/w300/78FSyBCA8BVAK3FsO1s6mTanRz7.jpg,2020-08-01,Sleeping with Danger,false,7.8,34,,
false,https://image.tmdb.org/t/p/w300/2ltadt0HtHS8qD3xREVds3PDxkP.jpg,10751,14,35,,662546,en,Godmothered,"A young and unskilled fairy godmother that ventures out on her own to prove her worth by tracking down a young girl whose request for help was ignored. What she discovers is that the girl has now become a grown woman in need of something very different than a ""prince charming.""",354.126,https://image.tmdb.org/t/p/w300/80tDCErk6ymHS7YfvqJcbnnTtqa.jpg,2020-12-04,Godmothered,false,7.1,212,,
false,https://image.tmdb.org/t/p/w300/7TC0Me75kIHNhB8O7O6quSI207p.jpg,10751,14,12,,654028,en,The Christmas Chronicles: Part Two,"Kate Pierce is reluctantly spending Christmas with her mom’s new boyfriend and his son Jack. But when the North Pole and Christmas are threatened to be destroyed, Kate and Jack are unexpectedly pulled into a new adventure with Santa Claus.",365.953,https://image.tmdb.org/t/p/w300/6sG0kbEvAi3RRLcGGU5h8l3qAPa.jpg,2020-11-18,The Christmas Chronicles: Part Two,false,6.8,380,,
false,https://image.tmdb.org/t/p/w300/7xiYjuoa5cAjkbJrF7fpfKKYqcf.jpg,28,12,10752,18,554022,nl,Torpedo,"World War II: Resistance fighters accept a suicide mission to deliver a stolen Nazi submarine carrying atomic uranium. Hunted by Hitler’s army, the crew must outwit the German Navy to bring the cargo safely to America.",383.834,https://image.tmdb.org/t/p/w300/wHuhFcsii1GkKPHVC1wpdvJ9Djs.jpg,2019-10-23,Torpedo: U-235,false,7,70,,
false,https://image.tmdb.org/t/p/w300/azTsf28VYj0rw6ql67fB8WnxbZX.jpg,53,27,,,554585,es,Sin origen,A group of arcanes enjoy fighting vampires.,544.157,https://image.tmdb.org/t/p/w300/77lI0btz8qkExY13MKXaPrf4cA6.jpg,2020-10-25,Originless,false,5.4,21,,
false,https://image.tmdb.org/t/p/w300/DA7gzvlBoxMNL0XmGgTZOyv67P.jpg,16,10751,35,14,741074,en,Once Upon a Snowman,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",326.375,https://image.tmdb.org/t/p/w300/hddzYJtfYYeMDOQVcH58n8m1W3A.jpg,2020-10-23,Once Upon a Snowman,false,6.8,224,,
false,https://image.tmdb.org/t/p/w300/iQxJuPqCGOO4Iy3uFbMWCIGHkwE.jpg,10752,28,,,635780,en,Rogue Warfare: Death of a Nation,"After rescuing Daniel from the terrorist Black Mask Organization, the team uncovers plans for a deadly bomb set to detonate in 36 hours that threatens world order. With no time to recover, Daniel must throw his life back on the line as he and his elite team of soldiers race against time to find the bomb and defeat their enemy once and for all. Outnumbered and overmatched, each soldier must find their inner strength and skill to overcome insurmountable odds.",338.515,https://image.tmdb.org/t/p/w300/8GVpIEBqlRBvx28G0LfEX0U8D2k.jpg,2020-09-25,Rogue Warfare: Death of a Nation,false,3.9,17,,
false,https://image.tmdb.org/t/p/w300/eShw0LB5CkoEfYtpUcXPD85oz5Q.jpg,27,53,35,14,551804,en,Freaky,"A mystical, ancient dagger causes a notorious serial killer to magically switch bodies with a 17-year-old girl.",327.813,https://image.tmdb.org/t/p/w300/8xC6QSyxrpm0D5A6iyHNemEWBVe.jpg,2020-11-12,Freaky,false,7,206,,
false,https://image.tmdb.org/t/p/w300/2AFZyra0Ddwl2oBDhClvD1qSIL6.jpg,28,27,878,,340102,en,The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",330.2,https://image.tmdb.org/t/p/w300/xrI4EnZWftpo1B7tTvlMUXVOikd.jpg,2020-08-26,The New Mutants,false,6.4,1143,,
false,https://image.tmdb.org/t/p/w300/h00iFXMpGuls2GEnXIGFzQUeaFr.jpg,18,27,53,,726208,es,Voces,"After the strange death of his young son at their new home, Daniel hears a ghostly plea for help, spurring him to seek out a renowned paranormal expert.",326.021,https://image.tmdb.org/t/p/w300/ffdPUteSePSqJEhKJKwgSIWumC2.jpg,2020-07-24,Don't Listen,false,6.7,254,,
false,https://image.tmdb.org/t/p/w300/y3XMIea7mwTzxt3NFFXi5YJKeFJ.jpg,10751,28,16,12,20982,ja,劇場版 NARUTO -ナルト- 疾風伝,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",348.278,https://image.tmdb.org/t/p/w300/vDkct38sSFSWJIATlfJw0l3QOIR.jpg,2007-08-04,Naruto Shippuden the Movie,false,7.1,242,14,
false,https://image.tmdb.org/t/p/w300/t4V82jen6LKBjs8WMuMpGxbtFgJ.jpg,35,,,,633908,en,The Stand In,The story of a disaffected comedy actress and her ambitious stand-in trading places.,469.386,https://image.tmdb.org/t/p/w300/Or3FCPP8QQSxeOSw9IhDPYHgcQ.jpg,2020-12-03,The Stand In,false,5.6,15,,
